Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
34815016,Hot Mess,Lucy Vine,"Vine, Lucy",,"=""1409172201""","=""9781409172208""",0,3.66,Orion Books,Paperback,296,2017,2017,,2018/07/25,to-read,to-read (#35),to-read,,,,0,,,0,,,,,
27776577,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J.D. Vance,"Vance, J.D.",,"=""0062477528""","=""9780062477521""",4,3.94,HarperAudio,Audiobook,6,2016,2016,2018/07/23,2018/07/23,audiobook,audiobook (#98),read,,,,1,,,0,,,,,
36849624,All We Ever Wanted,Emily Giffin,"Giffin, Emily","Dorothy Dillingham Blue, Milton Bagby, Catherine Taber","=""0525593810""","=""9780525593812""",3,3.88,Random House Audio Publishing Group,Audio CD,,2018,2018,2018/07/23,2018/07/17,audiobook,audiobook (#97),read,,,,1,,,0,,,,,
33815781,The Wedding Date,Jasmine Guillory,"Guillory, Jasmine",,"=""""","=""""",4,3.53,Berkley,Kindle Edition,320,2018,2018,2018/07/23,2018/07/17,,,read,,,,1,,,0,,,,,
36470842,I Have Lost My Way,Gayle Forman,"Forman, Gayle",,"=""1471173720""","=""""",0,3.73,Penguin Teen,Paperback,368,2018,2018,,2018/07/18,to-read,to-read (#34),to-read,,,,0,,,0,,,,,
35099180,Saints for All Occasions,J. Courtney Sullivan,"Sullivan, J. Courtney",Susan Denaker,"=""""","=""9781524781477""",3,3.89,Penguin Random House Audio Publishing Group,Audiobook,,2017,2017,2018/07/17,2018/07/04,audiobook,audiobook (#96),read,,,,1,,,0,,,,,
27831371,Truly Madly Guilty,Liane Moriarty,"Moriarty, Liane",,"=""""","=""""",3,3.56,Flatiron Books,Kindle Edition,432,2016,2016,2018/07/04,2018/01/14,,,read,,,,1,,,0,,,,,
32956365,The Light We Lost,Jill Santopolo,"Santopolo, Jill",,"=""0735212759""","=""9780735212756""",4,3.88,G.P. Putnam's Sons,Hardcover,328,2017,2017,2018/07/04,2018/07/04,,,read,,,,1,,,0,,,,,
29632790,Algorithms to Live By: The Computer Science of Human Decisions,Brian Christian,"Christian, Brian",Tom  Griffiths,"=""""","=""""",0,4.16,Henry Holt and Co.,Kindle Edition,369,2016,2016,,2018/06/23,to-read,to-read (#33),to-read,,,,0,,,0,,,,,
29492933,Worth the Risk (St. James #3),Jamie Beck,"Beck, Jamie",,"=""""","=""""",3,4.26,Montlake Romance,Kindle Edition,304,2016,2016,2018/06/23,2018/06/12,,,read,,,,1,,,0,,,,,
